"adr","State","City","Service","Count","EditionYear","Comments","lon","lat"
"Waterbury, Connecticut","Connecticut","Waterbury","Tourist Home",5,1939,"",-73.0514965,41.5581525
"Waterbury, Connecticut","Connecticut","Waterbury","Tourist Home",6,1938,"",-73.0514965,41.5581525
"Waterbury, Connecticut","Connecticut","Waterbury","Hotel",2,1938,"Not categorized",-73.0514965,41.5581525
"Waterbury, Connecticut","Connecticut","Waterbury","Hotel",1,1939,"",-73.0514965,41.5581525
"Waterloo, Iowa","Iowa","Waterloo","Tourist Home",3,1939,"",-92.3425775,42.492786
"Watertown, New York","New York","Watertown","Tourist Home",3,1939,"",-75.9107565,43.9747838
"Waukegan, Illinois","Illinois","Waukegan","Tourist Home",2,1939,"",-87.8447938,42.3636331
"Waxahatchie, Texas","Texas","Waxahatchie","Tourist Home",4,1939,"",-96.8483311,32.3865312
"Way Cross, Georgia","Georgia","Way Cross","Tourist Home",2,1939,"",-82.3540178,31.2135511
"Welch, West Virginia","West Virginia","Welch","Hotel",1,1939,"",-81.5845513,37.4328913
"Weldon, North Carolina","North Carolina","Weldon","Hotel",2,1938,"",-77.6030331,36.4159849
"Weldon, North Carolina","North Carolina","Weldon","Hotel",2,1939,"",-77.6030331,36.4159849
"West Baden, Indiana","Indiana","West Baden","Hotel",1,1939,"",-86.6111026,38.5653318
"West Chester, Pennsylvania","Pennsylvania","West Chester","Hotel",1,1938,"",-75.6054882,39.9606643
"West Chester, Pennsylvania","Pennsylvania","West Chester","Hotel",1,1939,"",-75.6054882,39.9606643
"West Haven, Connecticut","Connecticut","West Haven","Tavern",1,1939,"",-72.9469711,41.2705484
"West Pleasantville, New Jersey","New Jersey","West Pleasantville","Country Club",1,1939,"",-74.5240422,39.3898388
"Wewoka, Oklahoma","Oklahoma","Wewoka","Hotel",1,1939,"",-96.4933457,35.1586902
"Wheeling, West Virginia","West Virginia","Wheeling","Hotel",1,1939,"",-80.7209149,40.0639616
"Wheeling, West Virginia","West Virginia","Wheeling","Tourist Home",4,1939,"",-80.7209149,40.0639616
"Wheeling, West Virginia","West Virginia","Wheeling","Restaurant",1,1939,"",-80.7209149,40.0639616
"Wheeling, West Virginia","West Virginia","Wheeling","Night Club",2,1939,"",-80.7209149,40.0639616
"Wheeling, West Virginia","West Virginia","Wheeling","Beauty Parlor",2,1939,"",-80.7209149,40.0639616
"White Plains, New York","New York","White Plains","Tavern",1,1939,"",-73.7629097,41.0339862
